OCORRENCIA_ANO_BAIRRO;CD_BAIRRO;NOM_BAIRRO;TOT_EQUIP_BAIRRO;FLAG_EQUIPAMENTO_BAIRRO;FLAGRANTE_BAIRRO;TOT_OPERACAO_BAIRRO;TOT_OCORR_BAIRRO;RENDI_NOM_MED_TOTAL;RENDI_NOM_MED_HOMENS;RENDI_NOM_MED_MULHERES;POP_DENSIDADE_2022;TOTAL_ALVARAS;ARE_VERDE_POR_HAB;CD_REGIONAL;NOM_REGIONAL;TOT_OCORR_REGIONAL;QTD_EQUIPAMENTOS_GMC_REGIONAL
2012;50;ABRANCHES;9;52;2;1;255524;1709.45;2042.91;1342.33;13132.64;2699;28.6;4;REGIONAL BOA VISTA;4492796;5
2013;50;ABRANCHES;9;31;3;17;231495;1709.45;2042.91;1342.33;13132.64;2699;28.6;4;REGIONAL BOA VISTA;5680685;5
2014;50;ABRANCHES;9;40;11;121;310156;1709.45;2042.91;1342.33;13132.64;2699;28.6;4;REGIONAL BOA VISTA;5022916;5
2015;50;ABRANCHES;9;43;10;149;300235;1709.45;2042.91;1342.33;13132.64;2699;28.6;4;REGIONAL BOA VISTA;5365945;5
2016;50;ABRANCHES;9;38;7;118;237888;1709.45;2042.91;1342.33;13132.64;2699;28.6;4;REGIONAL BOA VISTA;4550111;5
2017;50;ABRANCHES;9;45;5;107;215819;1709.45;2042.91;1342.33;13132.64;2699;28.6;4;REGIONAL BOA VISTA;4661287;5
2018;50;ABRANCHES;9;68;3;130;130;1709.45;2042.91;1342.33;13132.64;2699;28.6;4;REGIONAL BOA VISTA;12058;5
2019;50;ABRANCHES;9;62;3;903;234;1709.45;2042.91;1342.33;13132.64;2699;28.6;4;REGIONAL BOA VISTA;28270;5
2020;50;ABRANCHES;9;36;5;275;275;1709.45;2042.91;1342.33;13132.64;2699;28.6;4;REGIONAL BOA VISTA;28270;5
2021;50;ABRANCHES;9;54;5;256;256;1709.45;2042.91;1342.33;13132.64;2699;28.6;4;REGIONAL BOA VISTA;28270;5
2022;50;ABRANCHES;9;48;15;322;322;1709.45;2042.91;1342.33;13132.64;2699;28.6;4;REGIONAL BOA VISTA;28270;5
2012;9;AGUA VERDE;18;113;11;7;792728;4253.57;5441.33;3149.45;40150.31;18835;4.22;7;REGIONAL PORTAO;3408328;5
2013;9;AGUA VERDE;18;179;27;99;986370;4253.57;5441.33;3149.45;40150.31;18835;4.22;7;REGIONAL PORTAO;4255482;5
2014;9;AGUA VERDE;18;158;15;335;922412;4253.57;5441.33;3149.45;40150.31;18835;4.22;7;REGIONAL PORTAO;4382464;5
2015;9;AGUA VERDE;18;200;40;584;1176760;4253.57;5441.33;3149.45;40150.31;18835;4.22;7;REGIONAL PORTAO;4654649;5
